id,city,ward,language,category,priority,complaint_text,translated_english,timestamp,status
SYN-BEN-168,Bengaluru,Ward 112 (Indiranagar),Hinglish,Water Supply,High,Society tap water me dirty black drainage water mix hoke aa raha hai. Drinking purpose ke liye bilkul unsafe hai.,"Drainage water mixed with society tap water, completely unsafe for drinking.",2026-09-09 18:34,In Progress
SYN-HYD-169,Hyderabad,Ward 72 (Madhapur),Telugu,Water Supply,Low,కాలనీలోని పబ్లిక్ వాటర్ ట్యాప్ వద్ద చిన్నపాటి లీకేజీ ఉంది. నీటి వృధాను అరికట్టడానికి మరమ్మతు చేయండి.,"Minor leakage at public water tap in the colony, repair to prevent water wastage.",2026-09-10 19:41,Pending
SYN-KOL-170,Kolkata,Ward 65 (Ballygunge),Malayalam,Water Supply,High,പ്രധാന കുടിവെള്ള പൈപ്പ് പൊട്ടി റോഡിൽ വെള്ളക്കെട്ടുണ്ടായി. ശുദ്ധജല വിതരണം പൂർണ്ണമായും നിലച്ചു.,Main drinking water pipe burst creating road flood. Water supply fully stopped.,2026-09-04 08:48,Resolved
SYN-CHE-171,Chennai,Ward 138 (Mylapore),English,Streetlights,Medium,Four consecutive streetlights on main bus route are completely dark for the past 5 days causing pedestrian hazard.,Four consecutive streetlights dark on main bus route for 5 days.,2026-09-05 09:55,Pending
SYN-AHM-172,Ahmedabad,Ward 22 (Vastrapur),Hindi,Streetlights,High,बिजली के खंभे का फ्यूज बॉक्स खुला हुआ है और जमीन से एक मीटर ऊपर नंगे तार लटक रहे हैं। बच्चों के लिए बहुत खतरनाक है।,Open fuse box on electric pole with exposed wires one meter above ground. Extreme hazard for children.,2026-09-06 10:02,In Progress
SYN-KOC-173,Kochi,Ward 15 (Kaloor),Hinglish,Streetlights,Low,Lane 3 me ek streetlight continuously blink/flicker kar rahi hai. Bulb replace karne ki request hai.,"One streetlight in Lane 3 continuously flickering, request bulb replacement.",2026-09-07 11:09,Resolved
SYN-DEL-174,Delhi,Ward 42 (Karol Bagh),Bengali,Streetlights,Medium,"বাস স্ট্যান্ডের মোড়ে ৩টি স্ট্রিট লাইট জ্বলছে না। সন্ধ্যার পর রাস্তা অন্ধকার হয়ে যায়, দুর্ঘটনার ঝুঁকি রয়েছে।",3 streetlights not working at bus stand corner. Road dark after evening with accident risk.,2026-09-08 12:16,In Progress
SYN-MUM-175,Mumbai,Ward G/North (Dadar),Punjabi,Streetlights,High,ਮੁੱਖ ਸੜਕ ਦੇ ਖੰਭੇ ਤੋਂ ਤਾਰਾਂ ਹੇਠਾਂ ਲਟਕ ਰਹੀਆਂ ਹਨ ਅਤੇ ਮੀਂਹ ਕਾਰਨ ਕਰੰਟ ਆਉਣ ਦਾ ਖਤਰਾ ਹੈ। ਤੁਰੰਤ ਟੀਮ ਭੇਜੋ।,Wires hanging down from main road pole with electrocution risk during rain. Send team immediately.,2026-09-09 13:23,Pending
SYN-BEN-176,Bengaluru,Ward 112 (Indiranagar),English,Garbage/Sanitation,Medium,Commercial market dustbin overflowing for three days with plastic and food waste attracting rodents.,Commercial dustbin overflowing for 3 days attracting pests.,2026-09-10 14:30,Resolved
SYN-HYD-177,Hyderabad,Ward 72 (Madhapur),Hindi,Garbage/Sanitation,High,अस्पताल के निकट मुख्य मार्ग पर खुला कचरा डंप पड़ा हुआ है। तेज बदबू और संक्रमण का भारी खतरा उत्पन्न हो गया है।,Open garbage dump near hospital main road creating foul smell and infection risk.,2026-09-04 15:37,Pending
SYN-KOL-178,Kolkata,Ward 65 (Ballygunge),Hinglish,Garbage/Sanitation,Low,"Residential lane me morning door-to-door waste collection vehicle 20 minute late aati hai, timing regularize karwayein.","Door-to-door waste vehicle arriving 20 minutes late, please regularize timing.",2026-09-05 16:44,In Progress
SYN-CHE-179,Chennai,Ward 138 (Mylapore),Tamil,Garbage/Sanitation,Medium,"தெரு முனையில் குப்பை தொட்டி நிரம்பி வழிகிறது. துர்நாற்றம் தாங்க முடியவில்லை, உடனே அகற்ற வேண்டும்.","Street corner garbage bin is overflowing with unbearable stench, remove immediately.",2026-09-06 17:51,Resolved
SYN-AHM-180,Ahmedabad,Ward 22 (Vastrapur),Gujarati,Garbage/Sanitation,Medium,"શાકભાજી માર્કેટ પાસે કચરાનો મોટો ઢગલો થયો છે, મ્યુનિસિપલ કચરા ગાડી મોકલીને તુરંત સફાઈ કરાવો.","Huge garbage pile near vegetable market, send municipal truck for immediate cleanup.",2026-09-07 18:58,In Progress
SYN-KOC-181,Kochi,Ward 15 (Kaloor),English,Water Supply,High,Drinking water pipeline damaged during fiber optic road digging. Massive clean water leakage and zero pressure in nearby residences.,Drinking water pipe damaged during road digging causing massive leak and zero pressure.,2026-09-08 19:05,Pending
SYN-DEL-182,Delhi,Ward 42 (Karol Bagh),Hindi,Water Supply,Medium,पिछले दो दिनों से सुबह के समय नलों में बहुत कम दबाव से पानी आ रहा है। ऊपरी मंजिलों पर पानी नहीं चढ़ पा रहा है।,Very low water pressure during morning supply for 2 days; water not reaching upper floors.,2026-09-09 08:12,Resolved
SYN-MUM-183,Mumbai,Ward G/North (Dadar),Hinglish,Water Supply,High,Society tap water me dirty black drainage water mix hoke aa raha hai. Drinking purpose ke liye bilkul unsafe hai.,"Drainage water mixed with society tap water, completely unsafe for drinking.",2026-09-10 09:19,Pending
SYN-BEN-184,Bengaluru,Ward 112 (Indiranagar),Telugu,Water Supply,Low,కాలనీలోని పబ్లిక్ వాటర్ ట్యాప్ వద్ద చిన్నపాటి లీకేజీ ఉంది. నీటి వృధాను అరికట్టడానికి మరమ్మతు చేయండి.,"Minor leakage at public water tap in the colony, repair to prevent water wastage.",2026-09-04 10:26,In Progress
SYN-HYD-185,Hyderabad,Ward 72 (Madhapur),Malayalam,Water Supply,High,പ്രധാന കുടിവെള്ള പൈപ്പ് പൊട്ടി റോഡിൽ വെള്ളക്കെട്ടുണ്ടായി. ശുദ്ധജല വിതരണം പൂർണ്ണമായും നിലച്ചു.,Main drinking water pipe burst creating road flood. Water supply fully stopped.,2026-09-05 11:33,Resolved
